experiment_id,pharmacodb_cell_id,cell_uid,cell_name,depmap_id,in_gdsc_train,in_gdsc_val_or_test,in_gdsc_response,pharmacodb_compound_id,compound_uid,ctrp_compound_name,gdsc_pubchem_id,gdsc_drug_name,match_type,aac,resistance_rank,ic50,ec50,hs,einf,dss1,dss2,dss3
3304560,894,NCIH1838_1042_2019,NCI-H1838,ACH-000733,True,False,True,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.1778325,-0.1778325,4.78314823,0.91244903,2.09244874,48.43885873,,,
3309914,899,NCIH1915_1047_2019,NCI-H1915,ACH-000434,True,False,True,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.22415557,-0.22415557,3.71659633,3.71659633,0.89247015,0.0,,,
3312651,901,NCIH1944_1050_2019,NCI-H1944,ACH-000414,False,True,True,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.34244381,-0.34244381,1.05973857,1.05973857,0.67676778,0.0,,,
3314395,902,NCIH196_1051_2019,NCI-H196,ACH-000752,False,True,True,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.04445332,-0.04445332,,0.13896578,1.25982363,91.543569,,,
3316653,904,NCIH1975_1053_2019,NCI-H1975,ACH-000587,True,False,True,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.4974772,-0.4974772,0.02494379,0.01977683,4.0,30.24180662,,,
3319893,906,NCIH2009_1055_2019,NCI-H2009,ACH-000886,True,False,True,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.06693719,-0.06693719,,0.09917654,2.95959162,88.00776987,,,
3322500,907,NCIH2023_1056_2019,NCI-H2023,ACH-000781,True,False,True,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.01106189,-0.01106189,,0.04942889,4.0,98.2303866,,,
3324077,908,NCIH2029_1057_2019,NCI-H2029,ACH-000298,True,False,True,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.14576909,-0.14576909,,1.02008103,1.60626702,56.40581787,,,
3325966,909,NCIH2030_1058_2019,NCI-H2030,ACH-000521,True,False,True,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.05982429,-0.05982429,,0.22776919,4.0,86.48746323,,,
3327791,913,NCIH2081_1062_2019,NCI-H2081,ACH-000394,True,False,True,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.09786789,-0.09786789,,3.06166566,4.0,57.17288735,,,
3328751,914,NCIH2085_1063_2019,NCI-H2085,ACH-000451,True,False,True,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.33407646,-0.33407646,0.33070593,0.19085468,1.91437584,32.54445051,,,
3330760,915,NCIH2087_1064_2019,NCI-H2087,ACH-000841,False,True,True,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.20661571,-0.20661571,4.6123229,4.6123229,0.8848496,0.0,,,
3332858,917,NCIH2106_1066_2019,NCI-H2106,ACH-000904,False,False,False,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.48048138,-0.48048138,0.22292111,0.22292111,1.06543383,0.0,,,
