pubchem_id,GDSC_id,drug_name,TARGET,TARGET_PATHWAY
16725726,326,GSK690693,"AKT1, AKT2, AKT3",PI3K/MTOR signaling
24772860,328,SNX-2112,HSP90,Protein stability and degradation
73265214,329,QL-XI-92,DDR1,Cytoskeleton
68234129,330,XMD13-2,MRCKB,Cytoskeleton
73707530,331,QL-X-138,BTK,"Other, kinases"
447912,333,T0901317,"LXR, FXR",Other
5113032,341,Selisistat,SIRT1,Chromatin histone acetylation
24772043,342,Tenovin-6,SIRT,Chromatin histone acetylation
66577006,345,KIN001-270,CDK9,Other
11175137,356,AT7867,AKT,PI3K/MTOR signaling
156414,362,CI-1033,"EGFR, ERBB2, ERBB4",RTK signaling
11511120,363,PF-00299804,"EGFR, ERBB2, ERBB4",RTK signaling
9549289,366,TWS119,GSK3,WNT signaling
51358113,371,Torin 2,mTOR,PI3K/MTOR signaling
56599306,372,Pilaralisib,PI3K,PI3K/MTOR signaling
23582824,374,GSK1059615,PI3K,PI3K/MTOR signaling
16123056,375,Voxtalisib,"PI3K (class 1), DNAPK, MTOR",PI3K/MTOR signaling
11234052,376,"Brivanib, BMS-540215","VEGFR, PDGFR",RTK signaling
135423438,380,BIBF-1120,"VEGFR, PDGFR, FGFR",RTK signaling
24739943,381,AST-1306,"EGFR, ERBB4",RTK signaling
25254071,382,Apitolisib,"mTOR, PI3K",PI3K/MTOR signaling
46192505,406,LIMK1 inhibitor BMS4,LIMK1,Cytoskeleton
45258277,407,kb NB 142-70,PKD,"Other, kinases"
66577038,408,Sphingosine Kinase 1 Inhibitor II,Sphingosine Kinase,"Other, kinases"
14998470,409,"eEF2K Inhibitor, A-484954",eEF2K,"Other, kinases"
11539865,410,"MetAP2 Inhibitor, A832234",MetAP2,Other
49846579,412,Venotoclax,BCL-2 selective,Apoptosis regulation
24770514,415,CPI-613,"Metabo, Mitochondria",Other
16732433,416,CAY10566,Stearoyl-CoA desaturase,Other
135499520,427,Ara-G,Anti-metabolite,Other
135410875,428,Pemetrexed,TYMS,DNA replication
24771867,431,Alisertib,AURKA,Mitosis
5287969,432,Flavopiridol,CDK,Cell cycle
4248455,435,C-75,FAS,Apoptosis regulation
6918265,436,"CAP-232, TT-232, TLN-232",Glycolysis,Metabolism
444732,437,Trichostatin A,HDAC,Chromatin histone acetylation
6918837,438,Panobinostat,HDAC,Chromatin histone acetylation
24737642,439,LCL161,"XIAP, cIAP1, cIAP2",Apoptosis regulation
5081913,442,IMD-0354,IKKb,"Other, kinases"
135691163,446,MIM1,MCL-1,Apoptosis regulation
71755761,447,ETP-45835,"MNK1, MNK2","Other, kinases"
77232197,449,CD532,AURKA,Mitosis
5351307,461,NSC319726,P53 Mut specific,p53 pathway
