pharmacodb_compound_id,compound_uid,ctrp_compound_name,ctrp_pubchem,ctrp_inchikey,ctrp_smiles,gdsc_pubchem_id,gdsc_drug_name,gdsc_inchikey,match_type
34668,PDBC00010,Gefitinib,123631,,,123631,Gefitinib,XGALLCVXEZPNRQ-UHFFFAOYSA-N,pubchem
35060,PDBC01796,IC-87114,9908783,,,9908783,IC-87114,GNWHRHGTIBRNSM-UHFFFAOYSA-N,pubchem
35136,PDBC01980,Idelalisib,11625818,,,11625818,Idelalisib,IFSDAJWBUCMOAH-UHFFFAOYSA-N,pubchem
35155,PDBC00112,Imatinib,5291,,,5291,Imatinib,KTUFNOKKBVMGRW-UHFFFAOYSA-N,pubchem
35568,PDBC00029,KU-55933,5278396,,,5278396,KU-55933,XRKYMMUGXMWDAO-UHFFFAOYSA-N,pubchem
35569,PDBC01974,KU-60019,15953870,,,15953870,KU-60019,SCELLOWTHJGVIC-UHFFFAOYSA-N,pubchem
35996,PDBC00066,Lapatinib,208908,,,208908,Lapatinib,BCFGMOOMADDAQU-UHFFFAOYSA-N,pubchem
36059,PDBC01856,Linifanib,11485656,,,11485656,Linifanib,MPVGZUGXCQEXTM-UHFFFAOYSA-N,pubchem
36061,PDBC00096,Linsitinib,11640390,,,11640390,Linsitinib,PKCDDUHJAFVJJB-UHFFFAOYSA-N,pubchem
36287,PDBC01858,Masitinib,10074640,,,10074640,Masitinib,WJEOLQLKVOPQFV-UHFFFAOYSA-N,pubchem
36409,PDBC01864,Met Kinase Inhibitor,9549297,,,9549297,SU11274,FPYJSJDOHRDAMT-UHFFFAOYSA-N,pubchem
36463,PDBC00008,Methotrexate,126941,,,126941,Methotrexate,FBOZXECLQNJBKD-UHFFFAOYSA-N,pubchem
37819,PDBC00071,Mitomycin,5746,,,5746,Mitomycin-C,NWIBSHFKIJFRCO-UHFFFAOYSA-N,pubchem
37846,PDBC01943,Molibresib,46943432,,,46943432,I-BET-762,AAAQFGUYHFJNHI-UHFFFAOYSA-N,pubchem
48926,PDBC01960,NVP-ADW742,9825149,,,9825149,NVP-ADW742,LSFLAQVDISHMNB-UHFFFAOYSA-N,pubchem
49000,PDBC00011,Navitoclax,24978538,,,24978538,Navitoclax,JLYAXFNOILIKPP-UHFFFAOYSA-N,pubchem
49010,PDBC00259,Nelarabine,3011155,,,3011155,Nelarabine,IXOXBSCIXZEQEQ-UHFFFAOYSA-N,pubchem
49101,PDBC00013,Nilotinib,644241,,,644241,Nilotinib,HHZIURLSWUIHRB-UHFFFAOYSA-N,pubchem
49106,PDBC01871,Nintedanib,135423438,,,135423438,BIBF-1120,CPMDPSXJELVGJG-UHFFFAOYSA-N,pubchem
49179,PDBC00113,Nvp-tae 684,16038120,,,16038120,NVP-TAE684,QQWUGDVOUVUTOY-UHFFFAOYSA-N,pubchem
49433,PDBC00017,Olaparib,23725625,,,23725625,Olaparib,FDLYAMZZIXQODN-UHFFFAOYSA-N,pubchem
49476,PDBC01874,Osi-930,9868037,,,9868037,OSI-930,FGTCROZDHDSNIO-UHFFFAOYSA-N,pubchem
49596,PDBC01896,PF-543,66577038,,,66577038,Sphingosine Kinase 1 Inhibitor II,NPUXORBZRBIOMQ-UHFFFAOYSA-N,pubchem
49606,PDBC00489,PI-103,9884685,,,9884685,PI-103,TUVCWJQQGGETHL-UHFFFAOYSA-N,pubchem
49610,PDBC01986,PIK-93,6852167,,,6852167,PIK-93,JFVNFXCESCXMBC-UHFFFAOYSA-N,pubchem
49618,PDBC00033,PLX4720,24180719,,,24180719,PLX-4720,YZDJQTHVDDOVHR-UHFFFAOYSA-N,pubchem
49632,PDBC00449,PRIMA-1-Met,52918385,,,52918385,PRIMA-1MET,BGBNULCRKBVAKL-UHFFFAOYSA-N,pubchem
49658,PDBC00058,Paclitaxel,36314,,,36314,Paclitaxel,RCINICONZNJXQF-UHFFFAOYSA-N,pubchem
49690,PDBC00144,Panobinostat,6918837,,,6918837,Panobinostat,FPOHNWQLNRZRFC-UHFFFAOYSA-N,pubchem
49805,PDBC01883,Pha-793887,46191454,,,46191454,PHA-793887,HUXYBQXJVXOMKX-UHFFFAOYSA-N,pubchem
50014,PDBC00048,Pictilisib,17755052,,,17755052,Pictilisib,LHNIIDJUOCFXAP-UHFFFAOYSA-N,pubchem
50059,PDBC00402,Piperlongumine,637858,,,637858,Piperlongumine,VABYUUZNAVQNPG-UHFFFAOYSA-N,pubchem
50618,PDBC01884,Quizartinib,24889392,,,24889392,Quizartinib,CVWXJKQAOSCOAB-UHFFFAOYSA-N,pubchem
50852,PDBC01881,Ruxolitinib,25126798,,,25126798,Ruxolitinib,HFNKQEVNSGCOJV-UHFFFAOYSA-N,pubchem
51000,PDBC01882,SB-525334,9967941,,,9967941,SB52334,DKPQHFZUICCZHF-UHFFFAOYSA-N,pubchem
51096,PDBC00239,SN-38,104842,,,104842,SN-38,FJHBVJOVLFPMQE-UHFFFAOYSA-N,pubchem
51677,PDBC00115,Saracatinib,10302451,,,10302451,Saracatinib,OUKYUETWWIPKQR-UHFFFAOYSA-N,pubchem
51854,PDBC00053,Selumetinib,10127622,,,10127622,Selumetinib,CYOHGALHFOKKQC-UHFFFAOYSA-N,pubchem
51865,PDBC00512,Sepantronium bromide,11178236,,,11178236,Sepantronium bromide,QBIYUDDJPRGKNJ-UHFFFAOYSA-M,pubchem
51869,PDBC00062,Serdemetan,11609586,,,11609586,Serdemetan,CEGSUKYESLWKJP-UHFFFAOYSA-N,pubchem
51910,PDBC00109,Sirolimus,5284616,,,5284616,Rapamycin,QFJCIRLUMZQUOT-UHFFFAOYSA-N,pubchem
51919,PDBC00497,Snx-2112,24772860,,,24772860,SNX-2112,ZFVRYNYOPQZKDG-UHFFFAOYSA-N,pubchem
52087,PDBC00110,Sorafenib,216239,,,216239,Sorafenib,MLDQJTXFUGDVEO-UHFFFAOYSA-N,pubchem
52295,PDBC00627,Staurosporine,44259,,,44259,Staurosporine,HKSZLNNOFSGOKW-UHFFFAOYSA-N,pubchem
52389,PDBC00118,Sunitinib,5329102,,,5329102,Sunitinib,WINHZLLDWRZWRT-UHFFFAOYSA-N,pubchem
52444,PDBC00139,TGX221,9907093,,,9907093,TGX221,CPRAGQJXBLMUEL-UHFFFAOYSA-N,pubchem
52464,PDBC01815,TPCA-1,9903786,,,9903786,TPCA-1,SAYGKHKXGCPTLX-UHFFFAOYSA-N,pubchem
52470,PDBC00063,TW 37,11455910,,,11455910,TW 37,PQAPVTKIEGUPRN-UHFFFAOYSA-N,pubchem
52510,PDBC00026,Tanespimycin,6505803,,,6505803,Tanespimycin,AYUNIORJHRXIBJ-UHFFFAOYSA-N,pubchem
52545,PDBC00391,Telomerase Inhibitor IX,10385095,,,10385095,Telomerase Inhibitor IX,MIQUEZGHEJGPJB-UHFFFAOYSA-N,pubchem
52551,PDBC00221,Temozolomide,5394,,,5394,Temozolomide,BPEGJWRSRHCHSN-UHFFFAOYSA-N,pubchem
52553,PDBC00016,Temsirolimus,6918289,,,6918289,Temsirolimus,CBPNZQVSJQDFBE-UHFFFAOYSA-N,pubchem
52556,PDBC00201,Teniposide,452548,,,452548,Teniposide,NRUKOCRGYNPUPR-UHFFFAOYSA-N,pubchem
53049,PDBC00106,Tipifarnib,159324,,,159324,Tipifarnib,PLHJCIYEEKOWNM-UHFFFAOYSA-N,pubchem
53056,PDBC00458,Tivozanib,9911830,,,9911830,Tivozanib,SPMVMDHWKHCIDT-UHFFFAOYSA-N,pubchem
53097,PDBC00009,Tretinoin,444795,,,444795,Tretinoin,SHGAZHPCJJPHSC-UHFFFAOYSA-N,pubchem
53403,PDBC00536,UNC0638,46224516,,,46224516,UNC0638,QOECJCJVIMVJGX-UHFFFAOYSA-N,pubchem
53570,PDBC00018,Veliparib dihydrochloride,11960529,,,11960529,Veliparib,JNAHVYVRKWKWKQ-UHFFFAOYSA-N,pubchem
53607,PDBC01802,Vincristine,5978,,,5978,Vincristine,OGWKCGZFUXNPDA-UHFFFAOYSA-N,pubchem
53632,PDBC00012,Vorinostat,5311,,,5311,Vorinostat,WAEXFXRVDQXREF-UHFFFAOYSA-N,pubchem
53846,PDBC01859,ZSTK474,11647372,,,11647372,ZSTK474,HGVNLRPZOWWDKD-UHFFFAOYSA-N,pubchem
28023,PDBC02034,Alpelisib,56649450,,,56649450,Alpelisib,STUWGJZDJHPWGZ-UHFFFAOYSA-N,pubchem
28034,PDBC02061,Alvocidib,5287969,,,5287969,Flavopiridol,BIIVYFLTOXDAOV-UHFFFAOYSA-N,pubchem
28513,PDBC02050,Azd-1480,16659841,,,16659841,AZD1480,PDOQBOJDRPLBQU-UHFFFAOYSA-N,pubchem
28793,PDBC00248,Belinostat,6918638,,,6918638,Belinostat,NCNRHFGMJRPRSK-UHFFFAOYSA-N,pubchem
