model,seed,subset,gdsc_pubchem_id,drug_name,n_pairs,n_cells,spearman,pearson
bandrp_gate,2021,no_gdsc_response,25102847,Cabozantinib,179,176,0.31126782886835896,0.29850188029230057
bandrp_gate,2021,no_gdsc_response,25126798,Ruxolitinib,217,214,0.38834297598151607,0.4729827074366422
bandrp_gate,2021,no_gdsc_response,25262965,AZD8055,226,223,0.32558652080099365,0.3738465909562197
bandrp_gate,2021,no_gdsc_response,2907,Cyclophosphamide,106,105,-0.020165159527390484,0.020827425100480714
bandrp_gate,2021,no_gdsc_response,3011155,Nelarabine,198,196,0.05101377245959559,0.09311293706465086
bandrp_gate,2021,no_gdsc_response,3062316,Dasatinib,210,207,-0.07528522702354469,0.04636702254688349
bandrp_gate,2021,no_gdsc_response,3385,5-Fluorouracil,203,201,0.35006368999895343,0.4043272541806252
bandrp_gate,2021,no_gdsc_response,36314,Paclitaxel,153,152,0.5437717686123207,0.5626016100326411
bandrp_gate,2021,no_gdsc_response,387447,Bortezomib,202,200,0.40179602598678715,0.4422598575254122
bandrp_gate,2021,no_gdsc_response,4261,Entinostat,184,182,0.5600457322508394,0.63793449379551
bandrp_gate,2021,no_gdsc_response,42642645,Foretinib,214,211,0.3824205843990682,0.43332377510744485
bandrp_gate,2021,no_gdsc_response,44137675,AZD6482,218,216,0.05707987870280594,0.1308489200750036
bandrp_gate,2021,no_gdsc_response,44259,Staurosporine,66,66,0.029371855650508434,-0.010780555821015713
bandrp_gate,2021,no_gdsc_response,44462760,Dabrafenib,100,99,0.17038771447288864,0.24492393546829802
bandrp_gate,2021,no_gdsc_response,444795,Tretinoin,214,211,0.39919880470527636,0.45132051600490103
bandrp_gate,2021,no_gdsc_response,452548,Teniposide,111,110,0.5633075785695796,0.6375891727232549
bandrp_gate,2021,no_gdsc_response,46191454,PHA-793887,218,215,0.4694286738555471,0.5151661599614012
bandrp_gate,2021,no_gdsc_response,46224516,UNC0638,204,202,0.28101181588653634,0.29833361652225493
bandrp_gate,2021,no_gdsc_response,462382,MG-132,74,73,0.30489674119118865,0.3568896541409601
bandrp_gate,2021,no_gdsc_response,46843906,XMD11-50,140,138,0.46975831360989184,0.662420968562184
bandrp_gate,2021,no_gdsc_response,46926350,Dinaciclib,86,85,0.48149668143694097,0.49428673457939604
bandrp_gate,2021,no_gdsc_response,46930998,MK-2206,203,200,0.3430563350734752,0.4657916857599909
bandrp_gate,2021,no_gdsc_response,46943432,I-BET-762,213,210,0.37498624225742955,0.5307798095525754
bandrp_gate,2021,no_gdsc_response,49846579,Venotoclax,110,109,0.36682334273153416,0.5746294351266735
bandrp_gate,2021,no_gdsc_response,51039095,AZD4547,172,170,0.2948652488961952,0.2006794158806292
bandrp_gate,2021,no_gdsc_response,5113032,Selisistat,199,196,0.0012296987749563202,0.02421220611819609
bandrp_gate,2021,no_gdsc_response,5278396,KU-55933,210,207,0.23775222486567682,0.3078660987027296
bandrp_gate,2021,no_gdsc_response,5284616,Rapamycin,200,198,0.2134432976245392,0.44469438382007426
bandrp_gate,2021,no_gdsc_response,5287969,Flavopiridol,104,104,0.5099861303744799,0.49598718133358954
bandrp_gate,2021,no_gdsc_response,5291,Imatinib,210,207,0.28767972249364604,0.3653348818350682
bandrp_gate,2021,no_gdsc_response,52918385,PRIMA-1MET,97,96,0.17559826950299073,0.3933894845414663
bandrp_gate,2021,no_gdsc_response,5311,Vorinostat,212,209,0.4803422199652076,0.53844129803477
bandrp_gate,2021,no_gdsc_response,5328940,Bosutinib,178,175,0.2617031632762242,0.362021953955558
bandrp_gate,2021,no_gdsc_response,5329102,Sunitinib,213,210,0.3564506189609214,0.3758037676147641
bandrp_gate,2021,no_gdsc_response,5394,Temozolomide,203,202,0.22682326844700898,0.2558031586014809
bandrp_gate,2021,no_gdsc_response,5494449,Tozasertib,31,31,0.6189516129032258,0.7358413206468568
bandrp_gate,2021,no_gdsc_response,56649450,Alpelisib,127,125,0.04264231804078984,0.028684244046103168
bandrp_gate,2021,no_gdsc_response,5746,Mitomycin-C,189,188,0.4505983267559088,0.5445910413180463
bandrp_gate,2021,no_gdsc_response,5978,Vincristine,225,222,0.602030238127178,0.6563340311007728
bandrp_gate,2021,no_gdsc_response,637858,Piperlongumine,211,209,0.5129594109423582,0.6577417550513213
bandrp_gate,2021,no_gdsc_response,644241,Nilotinib,198,195,0.1379903651814484,0.34088316674053276
bandrp_gate,2021,no_gdsc_response,6450551,Axitinib,216,214,0.43365827781440175,0.4807120071770492
bandrp_gate,2021,no_gdsc_response,6505803,Tanespimycin,189,186,0.12651770363558004,0.06729833727691158
bandrp_gate,2021,no_gdsc_response,66577038,Sphingosine Kinase 1 Inhibitor II,213,210,0.1666960042792636,0.1813660142762706
bandrp_gate,2021,no_gdsc_response,6852167,PIK-93,213,211,0.308751039232924,0.4177702660122316
bandrp_gate,2021,no_gdsc_response,6914657,Daporinad,180,178,0.3623671327674167,0.44764774290037446
bandrp_gate,2021,no_gdsc_response,6918289,Temsirolimus,116,115,0.2607375229498136,0.45421773735261317
bandrp_gate,2021,no_gdsc_response,6918638,Belinostat,108,107,0.5678083774163633,0.7113446364720314
bandrp_gate,2021,no_gdsc_response,6918837,Panobinostat,222,219,0.40675053976812664,0.45503118735006276
bandrp_gate,2021,no_gdsc_response,71729975,GSK-J4,30,30,0.5390433815350391,0.6645102006918149
bandrp_gate,2021,no_gdsc_response,82146,Bexarotene,202,199,0.23153970219701056,0.34147931198055836
bandrp_gate,2021,no_gdsc_response,9444,5-azacytidine,185,183,0.23454906291472088,0.2440591830754996
bandrp_gate,2021,no_gdsc_response,9549297,SU11274,184,181,0.3527440284132721,0.5547360053096783
bandrp_gate,2021,no_gdsc_response,9825149,NVP-ADW742,202,200,0.26306617165326907,0.37880827783434884
bandrp_gate,2021,no_gdsc_response,9826308,GW843682X,195,193,0.43589628190368485,0.5556151752267081
bandrp_gate,2021,no_gdsc_response,9868037,OSI-930,152,150,0.4057263247608371,0.5834195512592816
bandrp_gate,2021,no_gdsc_response,9884685,PI-103,208,206,0.42979494150179165,0.455900140705679
bandrp_gate,2021,no_gdsc_response,9903786,TPCA-1,216,213,0.14418286601773084,0.17222177240263098
bandrp_gate,2021,no_gdsc_response,9907093,TGX221,210,207,-0.009553298269451777,0.060663980965211285
bandrp_gate,2021,no_gdsc_response,9908783,IC-87114,208,205,0.06755639670897197,0.18813393751518143
bandrp_gate,2021,no_gdsc_response,9911830,Tivozanib,193,191,0.1669857729252515,0.24852476744432853
bandrp_gate,2021,no_gdsc_response,9927531,BIBR-1532,207,205,0.20293692459435025,0.2781734986406509
bandrp_gate,2021,no_gdsc_response,9933475,Cediranib,94,94,-0.03657840551963298,0.042971132034194184
bandrp_gate,2021,no_gdsc_response,9956119,CHIR-99021,205,203,0.3504751908907969,0.5027548233101632
bandrp_gate,2021,no_gdsc_response,9967941,SB52334,203,200,0.18237742529282122,0.14193365993094684
bandrp_gate,2022,no_gdsc_response,10074640,Masitinib,201,198,0.251468432985709,0.3894274845760032
bandrp_gate,2022,no_gdsc_response,10127622,Selumetinib,207,204,-0.04093346704977902,0.027846152683761095
bandrp_gate,2022,no_gdsc_response,10184653,Afatinib,192,190,0.0002899251026819114,-0.07229621266548893
bandrp_gate,2022,no_gdsc_response,10302451,Saracatinib,214,212,-0.052099544862911504,0.07430926794233318
bandrp_gate,2022,no_gdsc_response,10385095,Telomerase Inhibitor IX,213,211,0.34545683714335124,0.4089367779601172
bandrp_gate,2022,no_gdsc_response,104741,Fulvestrant,44,44,-0.3101078391619375,-0.2748646107953642
bandrp_gate,2022,no_gdsc_response,104842,SN-38,183,181,0.4480356536188867,0.5341625678527552
bandrp_gate,2022,no_gdsc_response,11152667,AZD7762,219,217,0.3837509475653553,0.5374388394906343
bandrp_gate,2022,no_gdsc_response,11175137,AT7867,194,191,0.3216237160637875,0.3672996925111267
bandrp_gate,2022,no_gdsc_response,11178236,Sepantronium bromide,194,193,0.16084857399958088,0.17199895966277218
bandrp_gate,2022,no_gdsc_response,11228183,ABT737,177,175,0.42313798566140953,0.4470258261786639
bandrp_gate,2022,no_gdsc_response,11234052,"Brivanib, BMS-540215",206,203,0.2290018247734298,0.30815636438104027
bandrp_gate,2022,no_gdsc_response,11364421,BI-2536,217,215,0.3083694775532123,0.5127509025402207
bandrp_gate,2022,no_gdsc_response,11455910,TW 37,211,209,0.23465158050272336,0.44156930044285714
bandrp_gate,2022,no_gdsc_response,11485656,Linifanib,208,205,0.1902896554300917,0.2950746755597452
bandrp_gate,2022,no_gdsc_response,11609586,Serdemetan,208,206,0.4481200922002275,0.5451664793617024
bandrp_gate,2022,no_gdsc_response,11625818,Idelalisib,204,201,0.010245928432606431,0.2194108557636432
bandrp_gate,2022,no_gdsc_response,11640390,Linsitinib,197,195,0.1411632293195827,0.2627827031887239
bandrp_gate,2022,no_gdsc_response,11647372,ZSTK474,213,211,0.11836182975845962,0.26733260328392733
bandrp_gate,2022,no_gdsc_response,11707110,Trametinib,98,97,-0.09006780428293405,-0.04287229554796811
bandrp_gate,2022,no_gdsc_response,11960529,Veliparib,212,210,0.10143936606404046,0.1226825140678123
bandrp_gate,2022,no_gdsc_response,11977753,Dactolisib,149,147,0.1930857846652635,0.3315126639998739
bandrp_gate,2022,no_gdsc_response,123631,Gefitinib,214,212,-0.009481960583697054,-0.0933458219224333
bandrp_gate,2022,no_gdsc_response,126941,Methotrexate,175,173,0.14791314710055767,0.25028117974489333
bandrp_gate,2022,no_gdsc_response,135423438,BIBF-1120,177,176,0.18335880940167346,0.3422903125735434
bandrp_gate,2022,no_gdsc_response,148124,Docetaxel,98,97,0.47052410447262805,0.47693658386856363
bandrp_gate,2022,no_gdsc_response,156414,CI-1033,206,203,0.04167777766804294,0.09170704408643689
bandrp_gate,2022,no_gdsc_response,159324,Tipifarnib,272,208,0.28134923355150476,0.42155495946421756
bandrp_gate,2022,no_gdsc_response,15953870,KU-60019,197,194,0.2601592773462609,0.37580036691959073
bandrp_gate,2022,no_gdsc_response,16038120,NVP-TAE684,205,202,0.09526273689890097,0.19718839142596178
bandrp_gate,2022,no_gdsc_response,16659841,AZD1480,104,103,0.3311790328740469,0.4262969856039174
bandrp_gate,2022,no_gdsc_response,16722836,Fedratinib,203,201,0.37491325686211474,0.46312319822847353
bandrp_gate,2022,no_gdsc_response,17755052,Pictilisib,212,210,0.07356933472294963,0.22485223598346338
bandrp_gate,2022,no_gdsc_response,208908,Lapatinib,198,196,0.05495265307795019,-0.0122039694289117
bandrp_gate,2022,no_gdsc_response,2130404,AGK2,182,180,0.01940975047854745,0.021357154916616595
