,pc1,pc2,split,modality
ACH-000439,-0.6570224540606348,-1.4393935037552643,train,methylation
ACH-000875,-5.063564465186778,-2.313213575416663,train,methylation
ACH-000433,-6.373838415454149,-0.8236440811167571,train,methylation
ACH-000267,10.979795473286718,-10.855996193246177,train,methylation
ACH-000878,-7.292548292147586,-1.8102608241915115,train,methylation
ACH-000621,-5.4256915471380935,1.0351921777013027,train,methylation
ACH-000749,3.2056592518645415,13.44917482277723,train,methylation
ACH-000802,-0.41882078744609874,8.513325109324835,train,methylation
ACH-000644,-4.5322709793642355,1.422160797696022,train,methylation
ACH-000995,4.606008980816118,-6.402314735165694,train,methylation
ACH-000938,23.236604688027576,-12.436943567017288,train,methylation
ACH-000586,-7.545068570870774,1.494129001337283,train,methylation
ACH-000781,-0.9392182074168187,10.230024773565667,train,methylation
ACH-000722,-6.605789313288144,-1.6932682881804442,train,methylation
ACH-000655,-4.707085721937658,-1.6328521087492316,train,methylation
ACH-000231,-5.961243190489584,1.0175631967375838,train,methylation
ACH-000363,-6.578298325039827,-0.6752785600614216,train,methylation
ACH-000662,3.8920924564783697,4.826949731398718,train,methylation
ACH-000720,-6.115270404118318,2.370308536296129,train,methylation
ACH-000703,-1.6460238330158556,5.888893050812014,train,methylation
ACH-000625,-5.810028351269589,2.109360355743761,train,methylation
ACH-000320,-5.3763465314026,-2.615957014212054,train,methylation
ACH-000768,3.113200251877757,3.512310699932601,train,methylation
ACH-000457,-3.236812666008428,-2.3658630097741495,train,methylation
ACH-000935,0.3960274061987212,-0.8103608785066115,train,methylation
ACH-000743,3.1819947375675772,12.335004885225233,train,methylation
ACH-000347,-5.2200213203559604,-0.24013086483517293,train,methylation
ACH-000633,-3.068685939576679,6.314361633963705,train,methylation
ACH-000288,-6.591805972071517,2.5433550980912205,train,methylation
ACH-000389,-0.2928772159264986,-3.1928913198937092,train,methylation
ACH-000508,-3.093641271869217,3.606262180207368,train,methylation
ACH-000456,-7.693104024373156,-0.8170591200912913,train,methylation
ACH-000238,-7.493259957547783,-1.5469714298849009,train,methylation
ACH-000247,-5.220311153048162,-2.2386276823503874,train,methylation
ACH-000748,-1.9529504217556606,6.021350830968257,train,methylation
ACH-000440,22.719675611762852,-16.149960189123785,train,methylation
