tissue,drug_name,n_cells,scc_bcgdrp,scc_drugmean,drugmean_reason
URINARY_TRACT,VX-11e,15,0.4071428571428571,,"constant within a drug, rank undefined"
URINARY_TRACT,Veliparib,15,0.2714285714285714,,"constant within a drug, rank undefined"
URINARY_TRACT,Venotoclax,15,0.42857142857142855,,"constant within a drug, rank undefined"
URINARY_TRACT,Vinblastine,13,0.46703296703296704,,"constant within a drug, rank undefined"
URINARY_TRACT,Vinorelbine,15,0.47142857142857136,,"constant within a drug, rank undefined"
URINARY_TRACT,Vismodegib,15,-0.039285714285714285,,"constant within a drug, rank undefined"
URINARY_TRACT,Vorinostat,15,0.3428571428571428,,"constant within a drug, rank undefined"
URINARY_TRACT,WEHI-539,15,-0.11785714285714284,,"constant within a drug, rank undefined"
URINARY_TRACT,WIKI4,15,0.22499999999999998,,"constant within a drug, rank undefined"
URINARY_TRACT,WZ4003,14,0.44175824175824174,,"constant within a drug, rank undefined"
URINARY_TRACT,Wee1 Inhibitor,15,0.25357142857142856,,"constant within a drug, rank undefined"
URINARY_TRACT,Wnt-C59,14,0.49890109890109896,,"constant within a drug, rank undefined"
URINARY_TRACT,YK-4-279,15,0.3214285714285714,,"constant within a drug, rank undefined"
URINARY_TRACT,ZM447439,15,0.1607142857142857,,"constant within a drug, rank undefined"
BREAST,5-Fluorouracil,42,0.10542095454177135,,"constant within a drug, rank undefined"
BREAST,ABT737,41,-0.09773519163763067,,"constant within a drug, rank undefined"
BREAST,AGI-5198,41,-0.1261324041811847,,"constant within a drug, rank undefined"
BREAST,AGI-6780,36,0.12664092664092666,,"constant within a drug, rank undefined"
BREAST,AMG-319,40,0.17185741088180115,,"constant within a drug, rank undefined"
BREAST,AZ960,37,0.038406827880512084,,"constant within a drug, rank undefined"
BREAST,AZD3759,41,0.3979094076655053,,"constant within a drug, rank undefined"
BREAST,AZD4547,41,0.12386759581881537,,"constant within a drug, rank undefined"
BREAST,AZD5582,36,0.20386100386100386,,"constant within a drug, rank undefined"
BREAST,AZD6482,38,0.1975051975051975,,"constant within a drug, rank undefined"
BREAST,AZD6738,41,0.07909407665505229,,"constant within a drug, rank undefined"
BREAST,AZD7762,42,0.2725062798800746,,"constant within a drug, rank undefined"
BREAST,AZD8055,40,0.20994371482176363,,"constant within a drug, rank undefined"
BREAST,AZD8186,41,0.31428571428571433,,"constant within a drug, rank undefined"
BREAST,Afatinib,40,0.039024390243902446,,"constant within a drug, rank undefined"
BREAST,Afuresertib,41,0.1275261324041812,,"constant within a drug, rank undefined"
BREAST,Alisertib,39,0.09311740890688261,,"constant within a drug, rank undefined"
BREAST,Alpelisib,41,0.13466898954703838,,"constant within a drug, rank undefined"
BREAST,Avagacestat,41,-0.3054006968641116,,"constant within a drug, rank undefined"
BREAST,Axitinib,42,0.007535856089457906,,"constant within a drug, rank undefined"
BREAST,BI-2536,37,-0.08795637743006164,,"constant within a drug, rank undefined"
BREAST,BIBR-1532,40,0.01557223264540338,,"constant within a drug, rank undefined"
BREAST,BMS-345541,37,-0.037932669511616876,,"constant within a drug, rank undefined"
BREAST,Bleomycin (50 uM),37,0.1519677572309151,,"constant within a drug, rank undefined"
BREAST,Bortezomib,41,0.19355400696864117,,"constant within a drug, rank undefined"
BREAST,Bosutinib,41,-0.02543554006968642,,"constant within a drug, rank undefined"
BREAST,CCT007093,39,0.11194331983805669,,"constant within a drug, rank undefined"
BREAST,CZC24832,37,-0.09459459459459459,,"constant within a drug, rank undefined"
BREAST,Camptothecin,41,0.012891986062717771,,"constant within a drug, rank undefined"
BREAST,Cediranib,41,0.06167247386759582,,"constant within a drug, rank undefined"
BREAST,Cisplatin,42,0.0639332306944332,,"constant within a drug, rank undefined"
BREAST,Crizotinib,41,-0.09947735191637633,,"constant within a drug, rank undefined"
BREAST,Cyclophosphamide,41,0.04198606271777005,,"constant within a drug, rank undefined"
