,pc1,pc2,split,modality
ACH-000910,-5.966207712004036,9.414369425323756,train,pathway
ACH-000860,-6.468959975568333,-4.8461862371432884,train,pathway
ACH-000223,5.664857366075011,3.5088744670264234,train,pathway
ACH-000787,9.511285009469805,-1.4656746778081342,train,pathway
ACH-000696,13.180479108191822,10.070923383454787,train,pathway
ACH-000273,12.699193107667133,-1.2420834034368562,train,pathway
ACH-000776,4.221661327083725,-15.644207119761301,train,pathway
ACH-000104,-20.82354881835977,9.601560637650582,train,pathway
ACH-000957,-1.3561848396272649,-8.957536300476741,train,pathway
ACH-000139,15.019110704691151,-20.62692089262561,train,pathway
ACH-000565,0.5913096245341792,-24.876449007394537,train,pathway
ACH-000177,-12.040215931372147,8.50441807536785,train,pathway
ACH-000476,7.451847875973609,-8.841851974673833,train,pathway
ACH-000373,-20.931728344799076,-11.264406488772345,train,pathway
ACH-000812,13.641432914010887,17.937047082390983,train,pathway
ACH-000336,-6.4981158211312655,-9.31024697482595,train,pathway
ACH-000040,8.16635936601024,23.52591096458552,train,pathway
ACH-000087,-23.432164993147683,5.625193450945244,train,pathway
ACH-000072,-19.077649214616972,-13.35808781160644,train,pathway
ACH-000353,14.601395769815943,-3.213912170469295,train,pathway
ACH-000298,-13.573822153926201,5.038977817949579,train,pathway
ACH-000838,-21.362982399913143,-15.399539174293276,train,pathway
ACH-000989,-1.4395790471686416,4.180516939058515,train,pathway
ACH-000437,8.926235355038818,12.787288116946097,train,pathway
ACH-000197,-27.266831664030242,5.623594336117177,train,pathway
ACH-000114,12.512322567329548,-17.447206424327163,train,pathway
ACH-000473,7.4463298451014355,-2.5461702248632005,train,pathway
ACH-000789,-10.013979336948408,17.34276154652421,train,pathway
ACH-000689,15.71733179915205,1.4034457509435216,train,pathway
ACH-000980,-17.56627968391199,20.253087190043527,train,pathway
ACH-000362,-26.83741038924031,-19.570361418986156,train,pathway
ACH-000098,16.05832996922932,14.630130138981606,train,pathway
ACH-000956,-9.37924542588295,11.548719513529251,train,pathway
ACH-000817,-18.521856504086205,-15.796595630470913,train,pathway
ACH-000410,0.5880183638815595,16.644932460996248,train,pathway
ACH-000563,3.774702424110179,7.180141640922446,train,pathway
ACH-000699,2.420794558840215,-0.7267082084961747,train,pathway
ACH-000501,11.337906113240155,-13.397371742221704,train,pathway
ACH-000863,21.98139178420333,0.5068585716745294,train,pathway
ACH-000008,6.91687056802142,1.5360827848483054,train,pathway
ACH-000505,16.23604114806715,18.543490452782834,train,pathway
ACH-000937,-24.09293857217143,5.434804252595765,train,pathway
ACH-000210,-11.103764644121249,1.6314425391520249,train,pathway
ACH-000443,6.015235475822944,-3.6287459939488507,train,pathway
ACH-000888,12.518992708558914,-0.4923005472631483,train,pathway
ACH-000423,8.222185615687986,9.459138415359469,train,pathway
ACH-000971,-1.2447654765028813,12.18867037629874,train,pathway
ACH-000355,-26.36431264944721,3.1267944117862836,train,pathway
ACH-000204,-6.994422651901166,0.9638114238157165,train,pathway
ACH-000580,7.38340067587884,10.043007445626452,train,pathway
ACH-000427,-9.491102182851023,-9.528940815289731,train,pathway
ACH-000135,30.235648842492466,9.283479814577346,train,pathway
ACH-000107,3.3014104078446183,-11.82166923277108,train,pathway
ACH-000078,-1.341206965678312,12.42427380430087,train,pathway
ACH-000530,-12.315439699829058,14.58750585142327,train,pathway
ACH-000650,2.5609431540834575,17.622522083723243,train,pathway
ACH-000396,14.914760025149677,15.742140339592297,train,pathway
ACH-000934,1.1443453829917225,2.4717451140903046,train,pathway
ACH-000070,-20.239823931359066,1.7791448185809813,train,pathway
ACH-000821,-17.809788372940428,-10.52152608104985,train,pathway
ACH-000451,14.536159452740172,4.559870571222232,train,pathway
ACH-000515,-23.257458273392924,6.0808354343393916,train,pathway
ACH-000744,0.8872593013733623,-8.445853385829514,train,pathway
ACH-000572,2.452094213121322,20.04551493159198,train,pathway
ACH-000345,-17.344309666814844,16.913995108601675,train,pathway
ACH-000767,-19.972333817850366,7.407583527329701,train,pathway
ACH-000885,14.185242756113505,-4.022354703103939,train,pathway
