drug_name,modality,n_train,n_test,spearman,pearson,alpha
MK-8776,all four,416,54,0.6635029540689917,0.7179694639750991,4328.761281083057
Dasatinib,expression,423,54,0.602439489231942,0.6119265892517953,533.6699231206308
Dasatinib,methylation,423,54,0.44318658280922424,0.3717382935558017,533.6699231206308
Dasatinib,mutation,423,54,0.20891938250428815,0.09810442058926401,4328.761281083057
Dasatinib,pathway,423,54,0.6115113398132266,0.6089052244161456,1519.9110829529332
Dasatinib,expression+methylation,423,54,0.6009148084619782,0.6091926831348382,1519.9110829529332
Dasatinib,all four,423,54,0.6146369353916522,0.6136257632182754,4328.761281083057
Paclitaxel,expression,421,54,0.5935201067276539,0.5352722596461011,1519.9110829529332
Paclitaxel,methylation,421,54,0.43175147703449585,0.4196735963815135,1519.9110829529332
Paclitaxel,mutation,421,54,0.028397179340575562,0.0954106471077644,4328.761281083057
Paclitaxel,pathway,421,54,0.5242995997712978,0.4729595925734275,4328.761281083057
Paclitaxel,expression+methylation,421,54,0.5848294263388603,0.5045079347185848,1519.9110829529332
Paclitaxel,all four,421,54,0.5663807890222984,0.4921794206235489,4328.761281083057
Entinostat,expression,394,54,0.7369163331427481,0.7213681482193786,1519.9110829529332
Entinostat,methylation,394,54,0.49372975033352384,0.5527716716416661,533.6699231206308
Entinostat,mutation,394,54,0.003087478559176672,0.08772702178385479,4328.761281083057
Entinostat,pathway,394,54,0.687364208118925,0.7277146821703364,4328.761281083057
Entinostat,expression+methylation,394,54,0.6678482942633884,0.694332052980895,1519.9110829529332
Entinostat,all four,394,54,0.7176291214027061,0.7306461542067284,4328.761281083057
Crizotinib,expression,426,54,0.6903373356203544,0.6935646358500114,1519.9110829529332
Crizotinib,methylation,426,54,0.5362683438155136,0.5511105965391238,1519.9110829529332
Crizotinib,mutation,426,54,0.12003049361539926,0.146871319964042,4328.761281083057
Crizotinib,pathway,426,54,0.7111492281303601,0.7123453373244362,4328.761281083057
Crizotinib,expression+methylation,426,54,0.6463502954068991,0.6540894445133256,1519.9110829529332
Crizotinib,all four,426,54,0.6753192300362111,0.6921958897715682,4328.761281083057
LJI308,expression,420,52,0.6863314266199949,0.6974920006600913,1519.9110829529332
LJI308,methylation,420,52,0.6172628703150345,0.6209782794034895,1519.9110829529332
LJI308,mutation,420,52,-0.009647400324425851,0.02335248301062957,4328.761281083057
LJI308,pathway,420,52,0.662767864765645,0.6795793767252867,4328.761281083057
LJI308,expression+methylation,420,52,0.681465038845727,0.6972479893534911,1519.9110829529332
LJI308,all four,420,52,0.6796721591394177,0.6826058639006607,4328.761281083057
Sorafenib,expression,421,54,0.8214598818372402,0.6822203933523636,1519.9110829529332
Sorafenib,methylation,421,54,0.6276729559748427,0.5330423741708734,1519.9110829529332
Sorafenib,mutation,421,54,-0.10928149418715455,-0.014935937901173924,4328.761281083057
Sorafenib,pathway,421,54,0.8319039451114921,0.7091447104204431,4328.761281083057
Sorafenib,expression+methylation,421,54,0.7740423098913664,0.6516353377494055,1519.9110829529332
Sorafenib,all four,421,54,0.8222984562607204,0.6903972884031592,12328.467394420659
BI-2536,expression,404,52,0.6285323998975496,0.6255354550248401,1519.9110829529332
BI-2536,methylation,404,52,0.4401092802868607,0.43903124697416673,1519.9110829529332
BI-2536,mutation,404,52,0.12353794928711687,0.1148261342211096,1519.9110829529332
BI-2536,pathway,404,52,0.6421070605310338,0.6220865282835968,1519.9110829529332
BI-2536,expression+methylation,404,52,0.5502433193887134,0.5641962266297192,1519.9110829529332
BI-2536,all four,404,52,0.6119696064202168,0.6048295602691948,4328.761281083057
LGK974,expression,425,54,0.6233276157804459,0.6452243315626647,1519.9110829529332
LGK974,methylation,425,54,0.4331236897274633,0.4558116577005625,1519.9110829529332
