tissue,drug_name,n_cells,slope,sd_ratio
BREAST,Axitinib,42,0.02573237402956946,0.4774035457998492
BREAST,BI-2536,37,-0.34236469278074827,0.4029798964069393
BREAST,BIBR-1532,40,-0.11225002580787906,0.36955634146079647
BREAST,BMS-345541,37,-0.12906281772987233,0.4396639814992821
BREAST,Bleomycin (50 uM),37,0.3576320739620538,0.4821717009018668
BREAST,Bortezomib,41,0.6835506881663217,0.47141617389447055
BREAST,Bosutinib,41,0.06216740209509657,0.2910651167993348
BREAST,CCT007093,39,0.4026086117484059,0.3231415985797231
BREAST,CZC24832,37,-0.5235699462955248,0.32087446422435406
BREAST,Camptothecin,41,0.15411951331835058,0.4494103057015694
BREAST,Cediranib,41,0.08499696766470606,0.2188625417259066
BREAST,Cisplatin,42,0.15575532483362017,0.5447825600812012
BREAST,Crizotinib,41,-0.2089694007356747,0.390767759697648
BREAST,Cyclophosphamide,41,-0.1779028465590296,0.32690223939248253
BREAST,Cytarabine,37,0.4207153257598434,0.4918061153387501
BREAST,Dabrafenib,41,-0.42789575768446175,0.1956375395200496
BREAST,Dactolisib,41,0.48934321700912864,0.4001223597314708
BREAST,Daporinad,21,0.8503922576386278,0.2971416874038014
BREAST,Dasatinib,41,1.0791390435677948,0.6046243305011211
BREAST,Dinaciclib,37,0.6997236009200051,0.3086244955310188
BREAST,Docetaxel,42,0.524141475828629,0.5989630324856153
BREAST,Doramapimod,40,0.6796870580183888,0.2815845231898536
BREAST,EHT-1864,40,0.11045558948477516,0.26119373575841043
BREAST,EPZ004777,41,-0.5379887041108394,0.3755102579492131
BREAST,EPZ5676,41,-0.1600387648936603,0.394502085236632
BREAST,Entinostat,40,0.3996375953675199,0.30082937205313803
BREAST,Entospletinib,37,-0.7453954692475933,0.3763897420478303
BREAST,Epirubicin,41,0.08650338213434595,0.3823301634807586
BREAST,Erlotinib,41,1.0421794372847228,0.35580368572734905
BREAST,Foretinib,40,0.9498065047209658,0.2691437573589555
BREAST,Fulvestrant,41,0.8065383219760478,0.28442599388452383
BREAST,GDC0810,41,0.585803919281151,0.25331764476396695
BREAST,GNE-317,40,0.31086626519743826,0.3854682717970317
BREAST,GSK1904529A,41,0.36708004580101633,0.30668914618044546
BREAST,GSK2578215A,41,0.16345588808206074,0.2710208268703684
BREAST,GSK2606414,37,0.13202647457352007,0.29975612767283305
BREAST,GSK269962A,39,0.08099792014703018,0.4968048850459499
BREAST,GSK2830371,37,-0.01867142732477221,0.40369138677498434
BREAST,GSK343,37,0.13691571558134058,0.4744260188080968
BREAST,GSK591,41,-0.18826919057138594,0.23298539805735638
BREAST,GW441756,38,0.315871865442624,0.3409763638470991
BREAST,Gefitinib,41,0.9821757782949421,0.324188936613438
BREAST,Gemcitabine,41,0.22106252247547567,0.43351663442648963
BREAST,I-BET-762,37,-0.3930025797974419,0.30599326256553816
BREAST,I-BRD9,41,0.6549136769900442,0.3369878542681868
BREAST,IWP-2,37,0.458685272451767,0.4302791883773335
BREAST,Ibrutinib,35,0.786959530990333,0.35174225161564404
BREAST,Ipatasertib,41,0.8461569858063341,0.30844421877629874
BREAST,Irinotecan,41,-0.10222202807301067,0.5651467986845925
BREAST,JNK Inhibitor VIII,38,-0.07270042199351719,0.3468702275804695
BREAST,JQ1,41,0.6199249440599763,0.2535913259742868
BREAST,KRAS (G12C) Inhibitor-12,37,-0.3151319198641208,0.35406909284410204
BREAST,KU-55933,40,0.1474361189746609,0.21412759749187393
BREAST,LCL161,37,0.34288045920326676,0.2434241490047969
BREAST,LGK974,41,0.10305384187824343,0.32224991387887214
BREAST,LJI308,40,-0.7620134119526499,0.3036990265263023
BREAST,LY2109761,37,-0.23356414695569352,0.29548377874555065
BREAST,Lapatinib,41,0.48066544949230067,0.3824090854131563
BREAST,Leflunomide,37,-0.2210088571935636,0.3653511500232512
BREAST,Lenalidomide,41,-0.12788238690379009,0.33020967089287495
BREAST,Lestaurtinib,41,0.8075947757161338,0.3681996016774379
BREAST,Linsitinib,41,0.182229457035314,0.24453540674763993
BREAST,MG-132,42,1.3206384080992328,0.16779640946201524
BREAST,MIRA-1,41,0.07503035863651052,0.3784311897995423
BREAST,MK-1775,41,0.649137077095081,0.3606947057857319
BREAST,MK-2206,42,0.7473142748370714,0.31281729183233226
BREAST,MK-8776,40,0.2657876796137543,0.22955887251259882
BREAST,ML323,37,0.30485290042660446,0.3918173241552494
BREAST,MN-64,37,0.13877839459838803,0.24717403402555901
BREAST,Methotrexate,37,1.3938983356023387,0.22972594935514845
BREAST,Motesanib,41,-0.09159617307783703,0.41864141249693765
BREAST,NU7441,41,0.2774263634077741,0.35497010260150247
